company,end_date,location,salary,title,url
Laboratorios Biomont S.A.,Actualizado hace 2 horas,"Ate, Lima",2025,Practicante Profesional de Producción (Farmacia y Bioquímica),https://www.bumeran.com.pe/empleos/practicante-profesional-de-produccion-farmacia-y-bioquimica-laboratorios-biomont-s.a.-1116816355.html
Eficiencia Profesional,Actualizado hace 6 horas,"Lima, Lima",2025,Practicante Profesional de RRHH - Relaciones Colectivas,https://www.bumeran.com.pe/empleos/practicante-profesional-de-rrhh-relaciones-colectivas-eficiencia-profesional-1116815794.html
Laureate Perú,Actualizado hace 3 horas,"Lima, Lima",2025,Laureate: Practicante HR Business Partner,https://www.bumeran.com.pe/empleos/laureate-practicante-hr-business-partner-laureate-peru-1116814315.html
TP PERÚ,Actualizado hace 4 horas,"Lima, Lima",2025,Practicante Profesional de Comunicación interna - Inglés,https://www.bumeran.com.pe/empleos/practicante-profesional-de-comunicacion-interna-ingles-tp-peru-1116767902.html
A&Z SOLUTION,Publicado hace 2 días,"San Isidro, Lima",2025,"Practicante de Ingeniería Electrónica, Telecomunicaciones o Afines",https://www.bumeran.com.pe/empleos/practicante-de-ingenieria-electronica-telecomunicaciones-o-afines-az-solution-1116816485.html
Grupo Euromotors,Publicado ayer,"Surquillo, Lima",2025,PRACTICANTE PROFESIONAL DE INGENIERIA INDUSTRIAL - RUBRO AUTOMOTRIZ,https://www.bumeran.com.pe/empleos/practicante-profesional-de-ingenieria-industrial-rubro-automotriz-grupo-euromotors-1116826669.html
ManpowerGroup Perú,Actualizado hace 2 horas,"San Isidro, Lima",2025,Practicante profesional de Control de Gestión ( REF : 75797),https://www.bumeran.com.pe/empleos/practicante-profesional-de-control-de-gestion-ref-75797-manpowergroup-peru-1116826337.html
Confidencial,Publicado ayer,"Lurín, Lima",2025,Practicante Profesional de Seguridad y Salud en el Trabajo - HSEQ,https://www.bumeran.com.pe/empleos/practicante-profesional-de-seguridad-y-salud-en-el-trabajo-hseq-1116824979.html
Grupo Euromotors,Actualizado hace 9 horas,"Cercado De Lima, Lima",2025,PRACTICANTE PROFESIONAL AUTOMOTRIZ- CAMIONES- CERCADO DE LIMA,https://www.bumeran.com.pe/empleos/practicante-profesional-automotriz-camiones-cercado-de-lima-grupo-euromotors-1116818091.html
Confidencial,Publicado hace 6 horas,"Lima, Lima",2025,Practicante Pre Profesional de IT (Especialista en Google Workspace),https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-it-especialista-en-google-workspace-1116837107.html
LUZ DEL SUR S.A.A.,Publicado hace 2 días,"San Juan de Miraflores, Lima",2025,PRACTICANTE PRE PROFSIONAL DE ING. ELÉCTRICA - MANTENIMIENTO MT,https://www.bumeran.com.pe/empleos/practicante-pre-profsional-de-ing.-electrica-mantenimiento-mt-luz-del-sur-s.a.a.-1116816955.html
KOMATSU MITSUI,Publicado hace 2 días,"Lima, Lima",2025,PRACTICANTE PRE PROFESIONAL DE GESTIÓN EMPRESARIAL - AREA LEGAL,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-gestion-empresarial-area-legal-komatsu-mitsui-1116814373.html
ManpowerGroup Perú,Publicado hace 2 días,"San Isidro, Lima",2025,Practicante de Marketing / Administración/ Sector Industrial / San Isidro,https://www.bumeran.com.pe/empleos/practicante-de-marketing-administracion-sector-industrial-san-isidro-manpowergroup-peru-1116813964.html
ManpowerGroup Perú,Publicado hace 2 días,"San Isidro, Lima",2025,Practicante de Marketing / Administración/ Sector Industrial / San Isidro,https://www.bumeran.com.pe/empleos/practicante-de-marketing-administracion-sector-industrial-san-isidro-manpowergroup-peru-1116813963.html
ManpowerGroup Perú,Publicado hace 2 días,"San Isidro, Lima",2025,Practicante Pre de Marketing / Sector Hidrocarburos / San Isidro,https://www.bumeran.com.pe/empleos/practicante-pre-de-marketing-sector-hidrocarburos-san-isidro-manpowergroup-peru-1116813957.html
SANNA,Actualizado hace 2 días,"San Isidro, Lima",2025,Practicante profesional Planillas / Sanna Clínica El Golf / Planilla Completa / Solo Lunes a Viernes,https://www.bumeran.com.pe/empleos/practicante-profesional-planillas-sanna-clinica-el-golf-planilla-completa-solo-lunes-a-viernes-sanna-1116766347.html
